Emoji,encode,sentiment_score
:face_with_tears_of_joy:,0X1F602,0.22096840377513338
:red_heart:,0X2764,0.7460869565217392
:loudly_crying_face:,0X1F62D,-0.09337676438653641
:face_blowing_a_kiss:,0X1F618,0.7017543859649124
:smiling_face_with_smiling_eyes:,0X1F60A,0.6446955430006278
:OK_hand:,0X1F44C,0.5637606837606838
:two_hearts:,0X1F495,0.6329166666666667
:clapping_hands:,0X1F44F,0.5205479452054794
:beaming_face_with_smiling_eyes:,0X1F601,0.4499771585198721
:thumbs_up:,0X1F44D,0.5221143473570657
:weary_face:,0X1F629,-0.36836283185840707
:folded_hands:,0X1F64F,0.41780376868096164
:smirking_face:,0X1F60F,0.33245729303547966
:winking_face:,0X1F609,0.46416831032215644
:raising_hands:,0X1F64C,0.5604249667994687
:flexed_biceps:,0X1F4AA,0.5557132718239886
:grinning_face_with_smiling_eyes:,0X1F604,0.4220314735336195
:unamused_face:,0X1F612,-0.3747292418772563
:woman_dancing:,0X1F483,0.7358630952380952
:sparkling_heart:,0X1F496,0.7133808392715756
:grinning_face_with_big_eyes:,0X1F603,0.5580431177446102
:pensive_face:,0X1F614,-0.1460580912863071
:face_screaming_in_fear:,0X1F631,0.19026548672566368
:party_popper:,0X1F389,0.7395555555555555
:cherry_blossom:,0X1F338,0.6522198731501057
:purple_heart:,0X1F49C,0.6560170394036209
:blue_heart:,0X1F499,0.7324561403508771
:sparkles:,0X2728,0.35259433962264153
:flushed_face:,0X1F633,0.017730496453900735
:growing_heart:,0X1F497,0.6590909090909091
:pouting_face:,0X1F621,-0.17328042328042326
:smiling_face_with_sunglasses:,0X1F60E,0.493368700265252
:crying_face:,0X1F622,0.006675567423230999
:face_savoring_food:,0X1F60B,0.6335149863760219
:musical_notes:,0X1F3B6,0.5392296718972895
:revolving_hearts:,0X1F49E,0.7423580786026202
:relieved_face:,0X1F60C,0.48421052631578954
:fire:,0X1F525,0.13978494623655913
:hundred_points:,0X1F4AF,0.1208791208791209
:yellow_heart:,0X1F49B,0.712624584717608
:green_heart:,0X1F49A,0.659217877094972
:disappointed_face:,0X1F61E,-0.11842105263157898
:grinning_squinting_face:,0X1F606,0.4117647058823529
:tired_face:,0X1F62B,-0.145610278372591
:grinning_face_with_sweat:,0X1F605,0.17965367965367968
:oncoming_fist:,0X1F44A,0.22925764192139736
:skull:,0X1F480,-0.20833333333333337
:grinning_face:,0X1F600,0.571753986332574
:eyes:,0X1F440,0.06341463414634144
:hot_beverage:,0X2615,0.24607329842931935
:sad_but_relieved_face:,0X1F625,0.12316715542521994
:confused_face:,0X1F615,-0.39999999999999997
:collision:,0X1F4A5,0.14893617021276595
:broken_heart:,0X1F494,-0.12195121951219512
:face_with_steam_from_nose:,0X1F624,-0.21100917431192662
:smiling_face_with_horns:,0X1F608,0.2676923076923077
:soccer_ball:,0X26BD,0.6220735785953178
:expressionless_face:,0X1F611,-0.31438127090301005
:crown:,0X1F451,0.7013422818791946
:backhand_index_pointing_right:,0X1F449,0.3938356164383562
:angry_face:,0X1F620,-0.3020833333333333
:downcast_face_with_sweat:,0X1F613,-0.08058608058608058
:persevering_face:,0X1F623,-0.2140221402214022
:neutral_face:,0X1F610,-0.3925925925925926
:raised_fist:,0X270A,0.43333333333333335
:confounded_face:,0X1F616,-0.15671641791044777
:thumbs_down:,0X1F44E,-0.18992248062015504
:sweat_droplets:,0X1F4A6,0.4761904761904762
:heavy_check_mark:,0X2714,0.27309236947791166
:face_with_medical_mask:,0X1F637,-0.17073170731707316
:high_voltage:,0X26A1,0.17886178861788618
:pile_of_poo:,0X1F4A9,-0.11790393013100436
:musical_note:,0X1F3B5,0.5067264573991032
:grimacing_face:,0X1F62C,0.19626168224299068
:glowing_star:,0X1F31F,0.3316582914572864
:exclamation_mark:,0X2757,0.101010101010101
:rose:,0X1F339,0.6104651162790697
:money_bag:,0X1F4B0,0.25595238095238093
:white_medium_star:,0X2B50,0.5911949685534591
:black_small_square:,0X25AA,0.2012578616352201
:dog_face:,0X1F436,0.5878378378378379
:headphone:,0X1F3A7,0.4225352112676057
:smiling_face_with_halo:,0X1F607,0.6
:astonished_face:,0X1F632,-0.06976744186046513
:dizzy:,0X1F4AB,0.512396694214876
:sunflower:,0X1F33B,0.5865384615384616
:water_wave:,0X1F30A,0.5157894736842105
:backhand_index_pointing_down:,0X1F447,0.25531914893617025
:prohibited:,0X1F6AB,-0.4545454545454545
:rainbow:,0X1F308,0.5340909090909092
:camera:,0X1F4F7,0.4473684210526316
:cyclone:,0X1F300,0.10606060606060605
:movie_camera:,0X1F3A5,0.30303030303030304
:syringe:,0X1F489,0.375
:memo:,0X1F4DD,0.24193548387096775
:cross_mark:,0X274C,0.2857142857142857
:police_car_light:,0X1F6A8,0.6727272727272727
:white_heavy_check_mark:,0X2705,0.4313725490196078
:red_circle:,0X1F534,0.4222222222222222
:cherries:,0X1F352,0.33333333333333337
:globe_showing_Americas:,0X1F30E,0.3409090909090909
:question_mark:,0X2753,0.07317073170731705
:television:,0X1F4FA,0.40540540540540543
:dollar_banknote:,0X1F4B5,0.423076923076923
:house:,0X1F3E0,0.5652173913043479
:Statue_of_Liberty:,0X1F5FD,0.3684210526315789
:loudspeaker:,0X1F4E2,0.5
:small_blue_diamond:,0X1F539,0.16666666666666666
:goat:,0X1F410,0.5555555555555556
:megaphone:,0X1F4E3,0.5
:pushpin:,0X1F4CC,-0.5714285714285714
:small_orange_diamond:,0X1F538,0.2857142857142857
:round_pushpin:,0X1F4CD,0.16666666666666666
:heavy_minus_sign:,0X2796,-1.0
